loan_id,reporting_month,default_probability_12m,positive_risk_drivers,negative_risk_drivers
LN100001,2025-01-01,0.01599086236436322,high_dti,clean_payment_history
LN100001,2025-02-01,0.01599086236436322,high_dti,clean_payment_history
LN100001,2025-03-01,0.01599086236436322,high_dti,clean_payment_history
LN100001,2025-04-01,0.01599086236436322,high_dti,clean_payment_history
LN100001,2025-05-01,0.014373716632443531,high_dti,clean_payment_history
LN100001,2025-06-01,0.014373716632443531,high_dti,clean_payment_history
LN100001,2025-07-01,0.01240694789081886,high_dti,clean_payment_history
LN100001,2025-08-01,0.01240694789081886,high_dti,clean_payment_history
LN100001,2025-09-01,0.01240694789081886,high_dti,clean_payment_history
LN100001,2025-10-01,0.01240694789081886,high_dti,clean_payment_history
LN100001,2025-11-01,0.01240694789081886,high_dti,clean_payment_history
LN100001,2025-12-01,0.01240694789081886,high_dti,clean_payment_history
LN100001,2026-01-01,0.01240694789081886,high_dti,clean_payment_history
LN100001,2026-02-01,0.01240694789081886,high_dti,clean_payment_history
LN100001,2026-03-01,0.01240694789081886,high_dti,clean_payment_history
LN100001,2026-04-01,0.01240694789081886,high_dti,clean_payment_history
LN100001,2026-05-01,0.01240694789081886,high_dti,clean_payment_history
LN100001,2026-06-01,0.01240694789081886,high_dti,clean_payment_history
LN100001,2026-07-01,0.01240694789081886,high_dti,clean_payment_history
LN100004,2025-01-01,0.0031847133757961785,recent_delinquency(max_3m=30),high_credit_score;high_equity_ltv;low_dti;low_rate(2.48%)
LN100004,2025-02-01,0.004273504273504274,None,clean_payment_history;high_credit_score;high_equity_ltv;low_dti;low_rate(2.48%)
LN100004,2025-03-01,0.004273504273504274,None,clean_payment_history;high_credit_score;high_equity_ltv;low_dti;low_rate(2.48%)
LN100004,2025-04-01,0.004273504273504274,None,clean_payment_history;high_credit_score;high_equity_ltv;low_dti;low_rate(2.48%)
LN100004,2025-05-01,0.004273504273504274,None,clean_payment_history;high_credit_score;high_equity_ltv;low_dti;low_rate(2.48%)
LN100004,2025-06-01,0.004273504273504274,None,clean_payment_history;high_credit_score;high_equity_ltv;low_dti;low_rate(2.48%)
LN100004,2025-07-01,0.004273504273504274,None,clean_payment_history;high_credit_score;high_equity_ltv;low_dti;low_rate(2.48%)
LN100004,2025-08-01,0.004273504273504274,None,clean_payment_history;high_credit_score;high_equity_ltv;low_dti;low_rate(2.48%)
LN100004,2025-09-01,0.004273504273504274,None,clean_payment_history;high_credit_score;high_equity_ltv;low_dti;low_rate(2.48%)
LN100004,2025-10-01,0.0,None,clean_payment_history;high_credit_score;high_equity_ltv;low_dti;low_rate(2.48%)
LN100007,2025-01-01,0.01599086236436322,high_dti,clean_payment_history;high_equity_ltv
LN100007,2025-02-01,0.01599086236436322,high_dti,clean_payment_history;high_equity_ltv
LN100007,2025-03-01,0.06666666666666667,delinquency(DPD=30);high_dti,high_equity_ltv
LN100007,2025-04-01,0.01240694789081886,recent_delinquency(max_3m=30);high_dti,high_equity_ltv
LN100007,2025-05-01,0.009290540540540541,recent_delinquency(max_3m=30);high_dti,high_equity_ltv
LN100007,2025-06-01,0.01599086236436322,high_dti,clean_payment_history;high_equity_ltv
LN100007,2025-07-01,0.01599086236436322,high_dti,clean_payment_history;high_equity_ltv
LN100007,2025-08-01,0.01599086236436322,high_dti,clean_payment_history;high_equity_ltv
LN100007,2025-09-01,0.01599086236436322,high_dti,clean_payment_history;high_equity_ltv
LN100007,2025-10-01,0.01599086236436322,high_dti,clean_payment_history;high_equity_ltv
LN100007,2025-11-01,0.01599086236436322,high_dti,clean_payment_history;high_equity_ltv
LN100007,2025-12-01,0.01599086236436322,high_dti,clean_payment_history;high_equity_ltv
LN100007,2026-01-01,0.01599086236436322,high_dti,clean_payment_history;high_equity_ltv
LN100007,2026-02-01,0.014373716632443531,high_dti,clean_payment_history;high_equity_ltv
LN100007,2026-03-01,0.014373716632443531,high_dti,clean_payment_history;high_equity_ltv
LN100007,2026-04-01,0.014373716632443531,high_dti;prior_modifications(count=1),clean_payment_history;high_equity_ltv
LN100007,2026-05-01,0.014373716632443531,high_dti;prior_modifications(count=1),clean_payment_history;high_equity_ltv
LN100007,2026-06-01,0.01240694789081886,high_dti;prior_modifications(count=1),clean_payment_history;high_equity_ltv
LN100007,2026-07-01,0.01240694789081886,high_dti;prior_modifications(count=1),clean_payment_history;high_equity_ltv
LN100010,2025-01-01,0.004273504273504274,None,clean_payment_history;high_credit_score;high_equity_ltv;low_dti;low_rate(2.49%)
LN100010,2025-02-01,0.004273504273504274,None,clean_payment_history;high_credit_score;high_equity_ltv;low_dti;low_rate(2.49%)
LN100010,2025-03-01,0.005780346820809248,None,clean_payment_history;high_credit_score;high_equity_ltv;low_dti;low_rate(2.49%)
LN100010,2025-04-01,0.005780346820809248,None,clean_payment_history;high_credit_score;high_equity_ltv;low_dti;low_rate(2.49%)
LN100010,2025-05-01,0.005780346820809248,None,clean_payment_history;high_credit_score;high_equity_ltv;low_dti;low_rate(2.49%)
LN100010,2025-06-01,0.005780346820809248,None,clean_payment_history;high_credit_score;high_equity_ltv;low_dti;low_rate(2.49%)
LN100010,2025-07-01,0.005780346820809248,None,clean_payment_history;high_credit_score;high_equity_ltv;low_dti;low_rate(2.49%)
LN100010,2025-08-01,0.005780346820809248,None,clean_payment_history;high_credit_score;high_equity_ltv;low_dti;low_rate(2.49%)
LN100010,2025-09-01,0.005780346820809248,None,clean_payment_history;high_credit_score;high_equity_ltv;low_dti;low_rate(2.49%)
LN100010,2025-10-01,0.005780346820809248,None,clean_payment_history;high_credit_score;high_equity_ltv;low_dti;low_rate(2.49%)
LN100010,2025-11-01,0.005780346820809248,None,clean_payment_history;high_credit_score;high_equity_ltv;low_dti;low_rate(2.49%)
LN100010,2025-12-01,0.005780346820809248,None,clean_payment_history;high_credit_score;high_equity_ltv;low_dti;low_rate(2.49%)
