loan_id,reporting_month,ml_anomaly_score,rule_anomaly_score,anomaly_score,top_drivers,action
LN100000,2018-08-01,0.36295783573275175,0.0,0.18147891786637588,None,No Action
LN100000,2018-09-01,0.35012057326515056,0.0,0.17506028663257528,None,No Action
LN100000,2018-10-01,0.34673999122677746,0.0,0.17336999561338873,None,No Action
LN100000,2019-02-01,0.2939728918808341,0.0,0.14698644594041704,None,No Action
LN100000,2019-04-01,0.2877912433475244,0.0,0.1438956216737622,None,No Action
LN100001,2023-08-01,0.42742210289523597,0.25,0.338711051447618,document_mismatch;missing_document,Investigate Data
LN100001,2023-09-01,0.58668945458063,0.0,0.293344727290315,None,No Action
LN100001,2023-10-01,0.08853619938743029,0.4,0.24426809969371516,balance_conflict,Investigate Data
LN100001,2024-07-01,0.07377298776738173,0.0,0.03688649388369086,None,No Action
LN100001,2024-08-01,0.06599996674141884,0.0,0.03299998337070942,None,No Action
LN100001,2024-09-01,0.06305654031117525,0.0,0.03152827015558762,None,No Action
LN100001,2025-02-01,0.07905504325501056,0.0,0.03952752162750528,None,No Action
LN100001,2025-04-01,0.0795742363126195,0.0,0.03978711815630975,None,No Action
LN100001,2025-08-01,0.07814666868038989,0.15,0.11407333434019494,missing_document,Investigate Data
LN100001,2025-09-01,0.077691479858787,0.0,0.0388457399293935,None,No Action
LN100001,2025-10-01,0.07970775371649719,0.0,0.039853876858248594,None,No Action
LN100001,2025-11-01,0.09030503073286589,0.0,0.045152515366432944,None,No Action
LN100001,2025-12-01,0.09246028606912371,0.0,0.046230143034561855,None,No Action
LN100001,2026-01-01,0.0948846194944657,0.0,0.04744230974723285,None,No Action
LN100001,2026-04-01,0.10507345595270423,0.0,0.052536727976352116,None,No Action
LN100001,2026-05-01,0.10960296591021601,0.2,0.154801482955108,status_conflict,Investigate Data
LN100001,2026-06-01,0.11311965107745137,0.0,0.05655982553872568,None,No Action
LN100002,2022-10-01,0.17163506699957143,0.0,0.08581753349978571,None,No Action
LN100002,2022-12-01,0.15056189673471387,0.15,0.15028094836735695,missing_document,Investigate Data
LN100002,2023-05-01,0.1311470608637637,0.0,0.06557353043188185,None,No Action
LN100002,2024-01-01,0.13554836849413332,0.15,0.14277418424706667,missing_document,Investigate Data
LN100002,2024-02-01,0.15008423692595896,0.0,0.07504211846297948,None,No Action
LN100002,2024-04-01,0.153328309946146,0.0,0.076664154973073,None,No Action
LN100003,2021-04-01,0.08903992839374042,0.0,0.04451996419687021,None,No Action
LN100004,2021-01-01,0.2062096712262017,0.15,0.17810483561310086,missing_document,Investigate Data
LN100004,2021-02-01,0.1768822033574089,0.4,0.28844110167870446,balance_conflict,Investigate Data
LN100004,2021-05-01,0.14690240028464552,0.0,0.07345120014232276,None,No Action
LN100004,2021-06-01,0.14210591760893865,0.15,0.14605295880446933,missing_document,Investigate Data
LN100004,2021-09-01,0.12736096395782193,0.0,0.06368048197891096,None,No Action
LN100004,2021-10-01,0.11603156275757132,0.15,0.13301578137878567,missing_document,Investigate Data
LN100004,2021-12-01,0.11061287006896225,0.0,0.05530643503448113,None,No Action
LN100004,2022-01-01,0.10516129076798497,0.7,0.40258064538399246,balance_conflict;dpd_conflict,Investigate Data
LN100004,2022-03-01,0.09631917292824588,0.0,0.04815958646412294,None,No Action
LN100004,2022-07-01,0.09821243957670689,0.15,0.12410621978835344,missing_document,Investigate Data
LN100004,2022-09-01,0.1066415797812631,0.0,0.05332078989063155,None,No Action
LN100004,2022-10-01,0.10670388263611885,0.15,0.12835194131805944,missing_document,Investigate Data
LN100004,2022-11-01,0.10782451790387193,0.0,0.053912258951935965,None,No Action
LN100004,2023-01-01,0.11061398172309822,0.7,0.4053069908615491,balance_conflict;dpd_conflict,Investigate Data
LN100004,2023-02-01,0.10172325912422964,0.15,0.12586162956211483,missing_document,Investigate Data
LN100004,2023-03-01,0.0929974217333458,0.15,0.1214987108666729,missing_document,Investigate Data
LN100004,2023-04-01,0.0911858456056922,0.15,0.1205929228028461,missing_document,Investigate Data
LN100004,2023-06-01,0.10086590701801168,0.0,0.05043295350900584,None,No Action
LN100004,2023-08-01,0.09022326050373808,0.0,0.04511163025186904,None,No Action
LN100004,2023-09-01,0.09093590780939043,0.15,0.12046795390469521,missing_document,Investigate Data
LN100004,2023-10-01,0.09374097641103496,0.0,0.04687048820551748,None,No Action
LN100004,2023-11-01,0.0916031816895917,0.0,0.04580159084479585,None,No Action
LN100004,2023-12-01,0.09072814230227388,0.0,0.04536407115113694,None,No Action
LN100004,2024-03-01,0.11058082769468225,0.0,0.055290413847341124,None,No Action
LN100004,2024-08-01,0.13940202250248412,0.0,0.06970101125124206,None,No Action
LN100004,2024-09-01,0.14618425945716396,0.0,0.07309212972858198,None,No Action
LN100004,2024-10-01,0.155965895959426,0.0,0.077982947979713,None,No Action
LN100004,2024-12-01,0.155727885602708,0.0,0.077863942801354,None,No Action
LN100004,2025-01-01,0.15832983635010844,0.0,0.07916491817505422,None,No Action
LN100004,2025-02-01,0.17209751236566517,0.0,0.08604875618283259,None,No Action
LN100004,2025-06-01,0.18154134339484573,0.7,0.44077067169742284,balance_conflict;dpd_conflict,Investigate Data
LN100004,2025-10-01,0.38050330138759303,0.0,0.19025165069379651,None,No Action
LN100005,2024-02-01,0.22035146724379417,0.0,0.11017573362189709,None,No Action
LN100006,2018-11-01,0.12166741579352058,0.0,0.06083370789676029,None,No Action
LN100006,2018-12-01,0.10943520364183501,0.0,0.054717601820917505,None,No Action
LN100006,2019-02-01,0.08388096639312781,0.0,0.041940483196563905,None,No Action
LN100007,2022-11-01,0.1353634148884557,0.44999999999999996,0.29268170744422783,dpd_conflict;missing_document,Investigate Data
