vintage,credit_score_band,prob_delinquency_3m_mean,prob_delinquency_3m_max,prob_default_12m_mean,prob_default_12m_max,prob_prepayment_12m_mean,prob_prepayment_12m_max,scenario_id
2018,580-619,0.044713160854893144,0.05961754780652419,0.25696790540540543,1.0,0.0070148586491517,0.007480485689505638,BASE
2018,620-659,0.1219888331645551,1.0,0.018000776031560844,0.06666666666666667,0.02751840317160772,1.0,BASE
2018,660-699,0.1263678146075304,1.0,0.042412124525626975,1.0,0.023514920316392626,1.0,BASE
2018,700-739,0.05278091591882979,1.0,0.024852647432916243,1.0,0.01126013836971033,1.0,BASE
2018,740-779,0.04361474829055681,1.0,0.013812348154680531,0.01599086236436322,0.015755290476618004,1.0,BASE
2018,780+,0.0442198547308481,1.0,0.01930747165013142,1.0,0.02881092824366771,1.0,BASE
2019,580-619,,,,,,,BASE
2019,620-659,0.14264214894953972,1.0,0.06513716551326311,1.0,0.007145763544626225,0.009687575684185032,BASE
2019,660-699,0.06523812782202187,1.0,0.02780524193336169,1.0,0.01720709073287542,1.0,BASE
2019,700-739,0.06350968638853619,1.0,0.02201367436382528,1.0,0.01698036532975031,1.0,BASE
2019,740-779,0.10159141567683551,1.0,0.027067094531089245,1.0,0.010571088076785178,1.0,BASE
2019,780+,0.0587695457830503,1.0,0.010121303188158641,0.01599086236436322,0.029168854196710118,1.0,BASE
2020,580-619,0.05961754780652419,0.05961754780652419,0.02777777777777778,0.027777777777777776,0.007480485689505639,0.007480485689505638,BASE
2020,620-659,0.18599810534699077,1.0,0.03392476966445469,1.0,0.02686189109054893,1.0,BASE
2020,660-699,0.12434056741207197,1.0,0.027829796376607784,1.0,0.01051075309253994,1.0,BASE
2020,700-739,0.13055418719858394,1.0,0.020033686454584452,1.0,0.017749377903774798,1.0,BASE
2020,740-779,0.06504103545626264,1.0,0.0197156894540868,1.0,0.014786393555420642,1.0,BASE
2020,780+,0.06991132293576342,1.0,0.00738392057992119,0.01599086236436322,0.022902993515263138,1.0,BASE
2021,580-619,,,,,,,BASE
2021,620-659,0.15705420490751487,1.0,0.05523093313751245,1.0,0.01896166593153891,1.0,BASE
2021,660-699,0.10662974929844814,1.0,0.021515360896176724,1.0,0.007610978968268249,0.012609117361784675,BASE
2021,700-739,0.08348113968361222,1.0,0.025073704255264933,1.0,0.02437662705095461,1.0,BASE
2021,740-779,0.06708420074102726,1.0,0.014847572558558274,1.0,0.01958263449485746,1.0,BASE
2021,780+,0.04423182642013253,1.0,0.012164790776529393,1.0,0.02903901742634374,1.0,BASE
2022,580-619,0.10424834627091391,1.0,0.022739164365002233,0.058823529411764705,0.007480485689505638,0.007480485689505638,BASE
2022,620-659,0.19538946553055725,1.0,0.04555088676206274,1.0,0.019293174622732234,1.0,BASE
2022,660-699,0.10080502273451383,1.0,0.03951052838918797,1.0,0.00875439071496357,0.012609117361784675,BASE
2022,700-739,0.06469962687243452,1.0,0.020701627561838645,1.0,0.01183599327893937,1.0,BASE
2022,740-779,0.05123266842245376,1.0,0.025599500304869675,1.0,0.01444001102369083,1.0,BASE
2022,780+,0.05230450734859103,1.0,0.012069851623892241,1.0,0.01916812193171386,1.0,BASE
2023,580-619,0.14078807740422422,1.0,0.03587207992919251,1.0,0.023923941817179308,1.0,BASE
2023,620-659,0.1312676368013079,1.0,0.030952376132151505,1.0,0.012572307995660866,1.0,BASE
2023,660-699,0.09498049776411847,1.0,0.030290155071511022,1.0,0.020743767427966395,1.0,BASE
2023,700-739,0.08937605658498682,1.0,0.024229090961126055,1.0,0.01681975699144385,1.0,BASE
2023,740-779,0.08426157850471384,1.0,0.018257064529161374,1.0,0.01930314529802421,1.0,BASE
2023,780+,0.07630905053964868,1.0,0.019349083924258638,1.0,0.019932750142688232,1.0,BASE
2024,580-619,0.27693524169331335,1.0,0.04464330998647475,1.0,0.007349014525170408,0.007480485689505638,BASE
2024,620-659,0.13737659189889434,1.0,0.066865162537208,1.0,0.007276301049862354,0.009687575684185032,BASE
2024,660-699,0.08980105315433763,1.0,0.037416894765480886,1.0,0.010807248959094079,1.0,BASE
2024,700-739,0.08386991076441239,1.0,0.025452911120720206,1.0,0.017324747555860134,1.0,BASE
2024,740-779,0.07079978546111751,1.0,0.019682331158754722,1.0,0.013306996183264823,1.0,BASE
2024,780+,0.06817856921721407,1.0,0.014180174134030334,1.0,0.019979773103758133,1.0,BASE
2018,580-619,0.07824803149606299,0.10433070866141733,0.26567778716216217,1.0,0.00280594345966068,0.0029921942758022553,ADVERSE_CREDIT
2018,620-659,0.14826306673362358,1.0,0.040501746071011896,0.15,0.011007361268643089,0.4,ADVERSE_CREDIT
2018,660-699,0.1418753828802514,1.0,0.06493947530461192,1.0,0.00940596812655705,0.4,ADVERSE_CREDIT
2018,700-739,0.0660087753819138,1.0,0.04393762605313504,1.0,0.004504055347884132,0.4,ADVERSE_CREDIT
2018,740-779,0.05589779394427208,1.0,0.031077783348031195,0.03597944031981725,0.006302116190647203,0.4,ADVERSE_CREDIT
2018,780+,0.05669509060657039,1.0,0.03482112155762328,1.0,0.011524371297467084,0.4,ADVERSE_CREDIT
2019,580-619,,,,,,,ADVERSE_CREDIT
2019,620-659,0.16439648793442177,1.0,0.09014628474250436,1.0,0.00285830541785049,0.003875030273674013,ADVERSE_CREDIT
2019,660-699,0.08247658284346786,1.0,0.0449561605472469,1.0,0.00688283629315017,0.4,ADVERSE_CREDIT
2019,700-739,0.07705104208902924,1.0,0.03600262879046835,1.0,0.006792146131900125,0.4,ADVERSE_CREDIT
2019,740-779,0.11512674958636086,1.0,0.041913620922798905,1.0,0.004228435230714071,0.4,ADVERSE_CREDIT
2019,780+,0.06995196827823276,1.0,0.022772932173356943,0.03597944031981725,0.011667541678684048,0.4,ADVERSE_CREDIT
2020,580-619,0.10433070866141733,0.10433070866141733,0.0625,0.0625,0.0029921942758022553,0.0029921942758022553,ADVERSE_CREDIT
